,word,pinyin,definition
809,开心,kāi xīn,to feel happy/to rejoice/to have a great time/to make fun of sb
810,开学,kāi xué,(of a student) to start school/(of a semester) to begin/(old) to found a school/the start of a new term
811,看法,kàn fǎ,way of looking at a thing/view/opinion/CL:個|个[ge4]
813,考生,kǎo shēng,exam candidate/student whose name has been put forward for an exam
815,可爱,kě ài,adorable/cute/lovely
817,科学,kē xué,"science/scientific knowledge/scientific/rational/CL:門|门[men2],個|个[ge4],種|种[zhong3]"
819,可能,kě néng,might (happen)/possible/probable/possibility/probability/maybe/perhaps/CL:個|个[ge4]
820,可怕,kě pà,awful/dreadful/fearful/formidable/frightful/scary/hideous/horrible/terrible/terribly
821,客人,kè rén,visitor/guest/customer/client/CL:位[wei4]
822,可是,kě shì,but; however/(used for emphasis) indeed
823,课堂,kè táng,classroom/CL:間|间[jian1]
824,可以,kě yǐ,can/may/possible/able to/not bad/pretty good
825,空气,kōng qì,air/atmosphere
827,快餐,kuài cān,fast food/snack/quick meal
829,快乐,kuài lè,happy; joyful
830,快要,kuài yào,nearly at the point of (doing sth); about to (do sth)
831,筷子,kuài zi,"chopsticks/CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]"
833,来自,lái zì,to come from (a place)/From: (in email header)
835,蓝色,lán sè,blue (color)
836,篮球,lán qiú,"basketball/CL:個|个[ge4],隻|只[zhi1]"
839,老年,lǎo nián,elderly/old age/autumn of one's years
841,老是,lǎo shì,always
843,离开,lí kāi,to depart; to leave
844,例如,lì rú,for example; for instance; such as
845,里头,lǐ tou,inside/interior
846,礼物,lǐ wù,"gift; present/CL:件[jian4],個|个[ge4],份[fen4]"
847,理想,lǐ xiǎng,an ideal/a dream/ideal/perfect
848,例子,lì zi,case/(for) instance/example/CL:個|个[ge4]
851,练习,liàn xí,to practice/exercise/drill/practice/CL:個|个[ge4]
854,凉快,liáng kuài,nice and cold/pleasantly cool
857,零下,líng xià,below zero
859,流利,liú lì,fluent
861,留下,liú xià,to leave behind/to stay behind/to remain/to keep/not to let (sb) go
863,流行,liú xíng,"(of a contagious disease etc) to spread/to propagate/(of a style of clothing, song etc) popular/fashionable"
864,旅客,lǚ kè,traveler; tourist
866,绿色,lǜ sè,green
867,路边,lù biān,curb; roadside; wayside
868,旅行,lǚ xíng,"to travel/journey; trip/CL:趟[tang4],次[ci4]"
869,旅游,lǚ yóu,trip/journey/tourism/travel/tour/to travel
872,满意,mǎn yì,satisfied/pleased/to one's satisfaction
877,面前,miàn qián,in front of/facing/(in the) presence (of)
878,名称,míng chēng,name (of a thing)/name (of an organization)
879,名单,míng dān,list of names
880,明星,míng xīng,star; celebrity
882,目的,mù dì,purpose; aim; goal; target; objective/CL:個|个[ge4]
883,拿出,ná chū,to take out/to put out/to provide/to put forward (a proposal)/to come up with (evidence)
884,拿到,ná dào,to get/to obtain
886,那么,nà me,like that/in that way/or so/so/so very much/about/in that case
889,那样,nà yàng,that kind/that sort
890,南方,nán fāng,south/the southern part of the country/the South
891,难过,nán guò,to feel sad/to feel unwell/(of life) to be difficult
892,难看,nán kàn,ugly/unsightly
893,难受,nán shòu,to feel unwell/to suffer pain/to be difficult to bear
894,难题,nán tí,difficult problem
895,难听,nán tīng,unpleasant to hear/coarse/vulgar/offensive/shameful
896,能够,néng gòu,to be capable of/to be able to/can
897,年级,nián jí,"grade/year (in school, college etc)/CL:個|个[ge4]"
898,年轻,nián qīng,young
901,努力,nǔ lì,to make an effort; to try hard; to strive/hard-working; conscientious
904,爬山,pá shān,to climb a mountain/to mountaineer/hiking/mountaineering
905,排队,pái duì,to line up
907,排球,pái qiú,volleyball/CL:個|个[ge4]
909,碰到,pèng dào,to come across/to run into/to meet/to hit
910,碰见,pèng jiàn,to run into/to meet (unexpectedly)/to bump into
913,便宜,pián yi,cheap; inexpensive/a petty advantage/to let sb off lightly
914,漂亮,piào liàng,pretty; beautiful
917,平安,píng ān,safe and sound/well/without mishap/quiet and safe/at peace
918,平常,píng cháng,ordinary/common/usually/ordinarily
919,平等,píng děng,equal/equality
920,平时,píng shí,ordinarily/in normal times/in peacetime
921,瓶子,píng zi,bottle/CL:個|个[ge4]
922,普通,pǔ tōng,common/ordinary/general/average
925,骑车,qí chē,to ride a bike (motorbike or bicycle)
926,起飞,qǐ fēi,(of an aircraft) to take off
928,气温,qì wēn,air temperature/CL:個|个[ge4]
929,其他,qí tā,other/(sth or sb) else/the rest
930,其中,qí zhōng,among/in/included among these
932,前年,qián nián,the year before last
933,千克,qiān kè,kilogram
937,青年,qīng nián,youth/youthful years/young person/the young
938,请客,qǐng kè,to give a dinner party/to entertain guests/to invite to dinner
939,清楚,qīng chǔ,clear/distinct/to understand thoroughly/to be clear about
940,请求,qǐng qiú,to request; to ask/request (CL:個|个[ge4])
942,晴天,qíng tiān,clear sky/sunny day
944,球场,qiú chǎng,"stadium/sports ground/court/pitch/field/golf course/CL:個|个[ge4],處|处[chu4]"
945,球队,qiú duì,"sports team (basketball, soccer, football etc)"
946,秋天,qiū tiān,autumn/CL:個|个[ge4]
947,球鞋,qiú xié,athletic shoes
948,取得,qǔ de,to acquire; to get; to obtain
951,全部,quán bù,whole; all
952,全国,quán guó,whole nation/nationwide/countrywide/national
953,全家,quán jiā,whole family
954,全年,quán nián,the whole year/all year long
955,全身,quán shēn,the whole body/(typography) em
956,全体,quán tǐ,all/entire
957,然后,rán hòu,then; after that; afterwards
959,热情,rè qíng,cordial/enthusiastic/passion/passionate/passionately
960,人口,rén kǒu,population/people
961,人们,rén men,people
962,人数,rén shù,number of people
963,认为,rèn wéi,to believe; to think; to consider; to feel
964,日报,rì bào,daily newspaper
965,日子,rì zi,day/a (calendar) date/days of one's life
966,如果,rú guǒ,if/in case/in the event that
967,入口,rù kǒu,entrance/to import
968,商量,shāng liáng,to consult/to talk over/to discuss
969,商人,shāng rén,merchant/businessman
970,上周,shàng zhōu,last week
971,少年,shào nián,early youth/youngster/(literary) youth/young man
972,少数,shǎo shù,small number/few/minority
973,身边,shēn biān,at one's side/on hand
976,生词,shēng cí,"new word (in textbook)/word that is unfamiliar or not yet studied/CL:組|组[zu3],個|个[ge4]"
977,生活,shēng huó,to live/life/livelihood
978,声音,shēng yīn,voice/sound/CL:個|个[ge4]
981,十分,shí fēn,very/completely/utterly/extremely/absolutely/hundred percent/to divide into ten equal parts
983,实际,shí jì,reality/practice/practical/realistic/real/actual
984,食物,shí wù,food/CL:種|种[zhong3]
985,实习,shí xí,to practice/field work/to intern/internship
986,实现,shí xiàn,to achieve; to implement; to realize; to bring about
987,使用,shǐ yòng,to use/to employ/to apply/to make use of
988,实在,shí zài,really/actually/indeed/true/real/honest/dependable/(philosophy) reality
989,实在,shí zài,really/actually/indeed/true/real/honest/dependable/(philosophy) reality
990,市长,shì zhǎng,mayor
991,事情,shì qíng,"affair; matter; thing; business/CL:件[jian4],樁|桩[zhuang1]"
993,手表,shǒu biǎo,"wristwatch/CL:塊|块[kuai4],隻|只[zhi1],個|个[ge4]"
994,收到,shōu dào,to receive
995,受到,shòu dào,"to receive (praise, an education, punishment etc)/to be ...ed (praised, educated, punished etc)"
996,收入,shōu rù,"to take in/income/revenue/CL:筆|笔[bi3],個|个[ge4]"
997,舒服,shū fú,comfortable/feeling well
1000,数字,shù zì,numeral/digit/number/figure/amount/digital (electronics etc)/CL:個|个[ge4]
1001,水平,shuǐ píng,level (of achievement etc)/standard/horizontal
1002,顺利,shùn lì,smoothly; without a hitch
1003,说明,shuō míng,to explain/to illustrate/to indicate/to show/to prove/explanation/directions/caption/CL:個|个[ge4]
1004,司机,sī jī,chauffeur; driver
1005,送到,sòng dào,sent to
1006,送给,sòng gěi,to send/to give as a present
1008,随便,suí biàn,as one wishes/as one pleases/at random/negligent/casual/wanton
1009,虽然,suī rán,although; even though (often used correlatively with 可是[ke3 shi4] or 但是[dan4 shi4] etc)
1010,随时,suí shí,at any time; at all times/at the right time; whenever necessary
1011,所以,suǒ yǐ,therefore/as a result/so/the reason why
1012,所有,suǒ yǒu,all/to have; to possess; to own
1014,它们,tā men,they; them
1015,态度,tài dù,manner/bearing/attitude/approach/CL:個|个[ge4]
1016,太太,tài tài,"married woman/Mrs./Madam/wife/CL:個|个[ge4],位[wei4]"
1017,太阳,tài yáng,sun/CL:個|个[ge4]/abbr. for 太陽穴|太阳穴[tai4 yang2 xue2]
1018,讨论,tǎo lùn,to discuss; to talk over
1020,特别,tè bié,unusual; special/very; especially; particularly/expressly; for a specific purpose/(often followed by 是[shi4]) in particular
1021,特点,tè diǎn,characteristic (feature)/trait/feature/CL:個|个[ge4]
1024,提出,tí chū,to raise (an issue)/to propose/to put forward/to suggest/to post (on a website)/to withdraw (cash)
1025,提到,tí dào,to mention/to raise (a subject)/to refer to
1027,提高,tí gāo,to raise/to increase/to improve
1028,体育,tǐ yù,sports/physical education
1031,天上,tiān shàng,celestial/heavenly
1033,条件,tiáo jiàn,condition; circumstance; term; factor/requirement; prerequisite; qualification/situation; state; condition/CL:個|个[ge4]
1035,停车,tíng chē,to pull up (stop one's vehicle)/to park/(of a machine) to stop working/to stall
1037,听说,tīng shuō,to hear (sth said)/one hears (that)/hearsay/listening and speaking
1039,挺好,tǐng hǎo,very good
1040,听讲,tīng jiǎng,to attend a lecture/to listen to a talk
1041,通过,tōng guò,to pass through; to get through/to adopt (a resolution); to pass (legislation)/to pass (a test)/by means of; through; via
1042,同时,tóng shí,at the same time/simultaneously
1043,同事,tóng shì,"colleague; co-worker/CL:個|个[ge4],位[wei4]"
1045,同样,tóng yàng,same; equal; similar/similarly; also; too
1046,通知,tōng zhī,to notify/to inform/notice/notification/CL:個|个[ge4]
1047,头发,tóu fà,hair (on the head)
1050,图片,tú piàn,picture; photograph/CL:張|张[zhang1]
1053,外地,wài dì,parts of the country other than where one is
1054,外卖,wài mài,(of a restaurant) to provide a takeout or home delivery meal/takeout (business)/takeout (meal)
1056,晚安,wǎn ān,Good night!/Good evening!
1057,晚报,wǎn bào,evening newspaper/(in a newspaper's name) Evening News
1058,晚餐,wǎn cān,"evening meal/dinner/CL:份[fen4],頓|顿[dun4],次[ci4]"
1059,晚会,wǎn huì,evening party/CL:個|个[ge4]
1061,完成,wán chéng,to complete; to accomplish
1062,完全,wán quán,complete; whole/totally; entirely
1065,网球,wǎng qiú,tennis/tennis ball/CL:個|个[ge4]
1067,网站,wǎng zhàn,website
1070,味道,wèi dào,flavor; taste/(fig.) feeling (of ...); sense (of ...); hint (of ...)/(fig.) interest; delight/(dialect) smell; odor
1074,温度,wēn dù,temperature/CL:個|个[ge4]
1075,问路,wèn lù,to ask for directions/to ask the way (to some place)
1076,问题,wèn tí,question/problem/issue/topic/CL:個|个[ge4]
1077,午餐,wǔ cān,"lunch/luncheon/CL:份[fen4],頓|顿[dun4],次[ci4]"
1078,午睡,wǔ shuì,to take a nap/siesta
1079,西北,xī běi,northwest
1080,西餐,xī cān,"Western-style food/CL:份[fen4],頓|顿[dun4]"
1081,西方,xī fāng,the West/the Occident/Western countries
1082,习惯,xí guàn,habit/custom/usual practice/to be used to/CL:個|个[ge4]
1083,西南,xī nán,southwest
1085,西医,xī yī,Western medicine/a doctor trained in Western medicine
1086,洗澡,xǐ zǎo,to bathe/to take a shower
1088,夏天,xià tiān,summer/CL:個|个[ge4]
1089,下雪,xià xuě,to snow
1090,下周,xià zhōu,next week
1094,想到,xiǎng dào,to think of/to call to mind/to anticipate
1095,想法,xiǎng fǎ,way of thinking; opinion; notion/to think of a way (to do sth)/CL:個|个[ge4]
1096,相机,xiàng jī,camera (abbr. for 照相機|照相机[zhao4 xiang4 ji1])/at the opportune moment/as the circumstances allow
1097,想起,xiǎng qǐ,to recall/to think of/to call to mind
1098,相同,xiāng tóng,identical/same
1099,相信,xiāng xìn,to be convinced (that sth is true); to believe; to accept sth as true
1101,笑话,xiào huà,joke; jest (CL:個|个[ge4])/to laugh at; to mock/ridiculous; absurd
1103,小声,xiǎo shēng,in a low voice/(speak) in whispers
1105,小说,xiǎo shuō,"novel/fiction/CL:本[ben3],部[bu4]"
1106,小心,xiǎo xīn,to be careful/to take care
1107,校园,xiào yuán,campus
1108,校长,xiào zhǎng,"(college, university) president/headmaster/CL:個|个[ge4],位[wei4],名[ming2]"
1109,小组,xiǎo zǔ,group
1111,信号,xìn hào,signal
1112,心里,xīn lǐ,chest/heart/mind
1113,心情,xīn qíng,mood; frame of mind/CL:個|个[ge4]
1115,新闻,xīn wén,"news/CL:條|条[tiao2],個|个[ge4]"
1116,信息,xìn xī,information/news/message
1117,信心,xìn xīn,confidence/faith (in sb or sth)/CL:個|个[ge4]
1119,心中,xīn zhōng,central point/in one's thoughts/in one's heart
1120,行动,xíng dòng,operation/action/CL:個|个[ge4]/to move about/mobile
1121,行人,xíng rén,pedestrian/traveler on foot/passer-by/official responsible for arranging audiences with the emperor
1123,姓名,xìng míng,surname and given name/full name
1124,行为,xíng wéi,action/conduct/behavior/activity
1125,星星,xīng xīng,(coll.) a star; the stars in the sky
1126,休假,xiū jià,to go on vacation; to have a holiday; to take leave
1127,许多,xǔ duō,many/a lot of/much
1130,学期,xué qī,term/semester/CL:個|个[ge4]
1131,颜色,yán sè,color/countenance/appearance/facial expression/pigment/dyestuff
1133,眼睛,yǎn jīng,"eye/CL:隻|只[zhi1],雙|双[shuang1]"
1135,样子,yàng zi,appearance/manner/pattern/model
1137,药店,yào diàn,pharmacy
1138,药片,yào piàn,a (medicine) pill or tablet/CL:片[pian4]
1139,要求,yāo qiú,to request/to require/requirement/to stake a claim/to ask/to demand/CL:點|点[dian3]
1140,药水,yào shuǐ,medicine in liquid form/bottled medicine/lotion
1142,夜里,yè lǐ,during the night/at night/nighttime
1143,也许,yě xǔ,perhaps/maybe
1145,一般,yì bān,same/ordinary/so-so/common/general/generally/in general
1147,一定,yí dìng,surely/certainly/necessarily/fixed/a certain (extent etc)/given/particular/must
1148,一共,yī gòng,altogether
1150,意见,yì jiàn,"idea/opinion/suggestion/objection/complaint/CL:點|点[dian3],條|条[tiao2]"
1153,以上,yǐ shàng,that level or higher/that amount or more/the above-mentioned/(used to indicate that one has completed one's remarks) That is all.
1154,意思,yì sī,"idea/opinion/meaning/wish/desire/interest/fun/token of appreciation, affection etc/CL:個|个[ge4]/to give as a small token/to do sth as a gesture of goodwill etc"
1155,以后,yǐ hòu,after/later/afterwards/following/later on/in the future
1156,已经,yǐ jīng,already
1157,以前,yǐ qián,before/formerly/previous/ago
1158,以外,yǐ wài,apart from/other than/except for/external/outside of/on the other side of/beyond
1159,以下,yǐ xià,that level or lower/that amount or less/the following
1160,以为,yǐ wéi,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
1162,一生,yī shēng,all one's life; throughout one's life
1163,一直,yì zhí,straight (in a straight line)/continuously; always; all the way through
1164,椅子,yǐ zi,"chair/CL:把[ba3],套[tao4]"
1166,银行,yín háng,"bank/CL:家[jia1],個|个[ge4]"
